Using 1 GPU(s)...
Reading pre-processed data=/hdd3/jiayi/kaggle/kaggleAdDisplayChallenge_processed.npz
Sparse fea = 26, Dense fea = 13
Defined train indices...
Randomized indices across days ...
Split data according to indices...
Reading pre-processed data=/hdd3/jiayi/kaggle/kaggleAdDisplayChallenge_processed.npz
Sparse fea = 26, Dense fea = 13
Defined test indices...
Randomized indices across days ...
Split data according to indices...
Loading saved model results/192-96-1_lr0.1/model.pth
Saved at: epoch = 0/1, batch = 192512/306969, ntbatch = 200
Training state: loss = 0.448233, accuracy = 79.194 %
Testing state: loss = 0.456822, accuracy = 78.638 %
time/loss/accuracy (if enabled):
Finished training it 193536/306969 of epoch 0, 16.27 ms/it, loss 0.451561, accuracy 79.066 %
Testing at - 193536/306969 of epoch 0, loss 0.456951, accuracy 78.621 %, best 78.638 %
Finished training it 194560/306969 of epoch 0, 16.28 ms/it, loss 0.451417, accuracy 78.988 %
Testing at - 194560/306969 of epoch 0, loss 0.457893, accuracy 78.547 %, best 78.638 %
Finished training it 195584/306969 of epoch 0, 17.68 ms/it, loss 0.454438, accuracy 78.763 %
Testing at - 195584/306969 of epoch 0, loss 0.456854, accuracy 78.612 %, best 78.638 %
Finished training it 196608/306969 of epoch 0, 22.67 ms/it, loss 0.451772, accuracy 79.059 %
Testing at - 196608/306969 of epoch 0, loss 0.458422, accuracy 78.575 %, best 78.638 %
Finished training it 197632/306969 of epoch 0, 20.91 ms/it, loss 0.451747, accuracy 79.050 %
Testing at - 197632/306969 of epoch 0, loss 0.457534, accuracy 78.607 %, best 78.638 %
Finished training it 198656/306969 of epoch 0, 16.66 ms/it, loss 0.451025, accuracy 79.041 %
Testing at - 198656/306969 of epoch 0, loss 0.456827, accuracy 78.616 %, best 78.638 %
Finished training it 199680/306969 of epoch 0, 16.55 ms/it, loss 0.453764, accuracy 78.896 %
Testing at - 199680/306969 of epoch 0, loss 0.456923, accuracy 78.614 %, best 78.638 %
Finished training it 200704/306969 of epoch 0, 13.77 ms/it, loss 0.451163, accuracy 79.095 %
Testing at - 200704/306969 of epoch 0, loss 0.459046, accuracy 78.380 %, best 78.638 %
Finished training it 201728/306969 of epoch 0, 14.64 ms/it, loss 0.452082, accuracy 78.934 %
Testing at - 201728/306969 of epoch 0, loss 0.458605, accuracy 78.525 %, best 78.638 %
Finished training it 202752/306969 of epoch 0, 17.53 ms/it, loss 0.450230, accuracy 79.041 %
Testing at - 202752/306969 of epoch 0, loss 0.456245, accuracy 78.634 %, best 78.638 %
Finished training it 203776/306969 of epoch 0, 20.76 ms/it, loss 0.449866, accuracy 79.263 %
Testing at - 203776/306969 of epoch 0, loss 0.456628, accuracy 78.616 %, best 78.638 %
Finished training it 204800/306969 of epoch 0, 19.79 ms/it, loss 0.449106, accuracy 79.129 %
Testing at - 204800/306969 of epoch 0, loss 0.457500, accuracy 78.591 %, best 78.638 %
Finished training it 205824/306969 of epoch 0, 17.70 ms/it, loss 0.451217, accuracy 79.041 %
Testing at - 205824/306969 of epoch 0, loss 0.457489, accuracy 78.569 %, best 78.638 %
Finished training it 206848/306969 of epoch 0, 18.13 ms/it, loss 0.448713, accuracy 79.212 %
Testing at - 206848/306969 of epoch 0, loss 0.456588, accuracy 78.623 %, best 78.638 %
Finished training it 207872/306969 of epoch 0, 15.81 ms/it, loss 0.450100, accuracy 79.085 %
Testing at - 207872/306969 of epoch 0, loss 0.456872, accuracy 78.601 %, best 78.638 %
Finished training it 208896/306969 of epoch 0, 18.43 ms/it, loss 0.452070, accuracy 79.067 %
Saving model to results/192-96-1_lr0.1/model.pth
Testing at - 208896/306969 of epoch 0, loss 0.456436, accuracy 78.649 %, best 78.649 %
Finished training it 209920/306969 of epoch 0, 20.22 ms/it, loss 0.449820, accuracy 79.043 %
Testing at - 209920/306969 of epoch 0, loss 0.456701, accuracy 78.630 %, best 78.649 %
Finished training it 210944/306969 of epoch 0, 17.79 ms/it, loss 0.450303, accuracy 79.028 %
Testing at - 210944/306969 of epoch 0, loss 0.456683, accuracy 78.596 %, best 78.649 %
Finished training it 211968/306969 of epoch 0, 18.78 ms/it, loss 0.449666, accuracy 79.074 %
Testing at - 211968/306969 of epoch 0, loss 0.456442, accuracy 78.644 %, best 78.649 %
Finished training it 212992/306969 of epoch 0, 17.53 ms/it, loss 0.448604, accuracy 79.171 %
Testing at - 212992/306969 of epoch 0, loss 0.458287, accuracy 78.590 %, best 78.649 %
Finished training it 214016/306969 of epoch 0, 16.68 ms/it, loss 0.449990, accuracy 79.037 %
Testing at - 214016/306969 of epoch 0, loss 0.456403, accuracy 78.633 %, best 78.649 %
Finished training it 215040/306969 of epoch 0, 13.34 ms/it, loss 0.449404, accuracy 79.152 %
Testing at - 215040/306969 of epoch 0, loss 0.457494, accuracy 78.572 %, best 78.649 %
Finished training it 216064/306969 of epoch 0, 14.63 ms/it, loss 0.448754, accuracy 79.115 %
Testing at - 216064/306969 of epoch 0, loss 0.456415, accuracy 78.621 %, best 78.649 %
Finished training it 217088/306969 of epoch 0, 16.93 ms/it, loss 0.450327, accuracy 79.126 %
Testing at - 217088/306969 of epoch 0, loss 0.457011, accuracy 78.612 %, best 78.649 %
Finished training it 218112/306969 of epoch 0, 19.49 ms/it, loss 0.450722, accuracy 79.163 %
Testing at - 218112/306969 of epoch 0, loss 0.458139, accuracy 78.509 %, best 78.649 %
Finished training it 219136/306969 of epoch 0, 19.17 ms/it, loss 0.450420, accuracy 79.091 %
Testing at - 219136/306969 of epoch 0, loss 0.456562, accuracy 78.631 %, best 78.649 %
Finished training it 220160/306969 of epoch 0, 19.85 ms/it, loss 0.448937, accuracy 79.204 %
Saving model to results/192-96-1_lr0.1/model.pth
Testing at - 220160/306969 of epoch 0, loss 0.455860, accuracy 78.671 %, best 78.671 %
Finished training it 221184/306969 of epoch 0, 16.90 ms/it, loss 0.447553, accuracy 79.209 %
Testing at - 221184/306969 of epoch 0, loss 0.458923, accuracy 78.467 %, best 78.671 %
Finished training it 222208/306969 of epoch 0, 17.93 ms/it, loss 0.450892, accuracy 79.018 %
Saving model to results/192-96-1_lr0.1/model.pth
Testing at - 222208/306969 of epoch 0, loss 0.455759, accuracy 78.686 %, best 78.686 %
Finished training it 223232/306969 of epoch 0, 19.64 ms/it, loss 0.451231, accuracy 78.979 %
Testing at - 223232/306969 of epoch 0, loss 0.457970, accuracy 78.628 %, best 78.686 %
Finished training it 224256/306969 of epoch 0, 17.53 ms/it, loss 0.451243, accuracy 79.073 %
Testing at - 224256/306969 of epoch 0, loss 0.456069, accuracy 78.652 %, best 78.686 %
Finished training it 225280/306969 of epoch 0, 19.33 ms/it, loss 0.452653, accuracy 78.884 %
Testing at - 225280/306969 of epoch 0, loss 0.456017, accuracy 78.655 %, best 78.686 %
Finished training it 226304/306969 of epoch 0, 19.49 ms/it, loss 0.447870, accuracy 79.256 %
Saving model to results/192-96-1_lr0.1/model.pth
Testing at - 226304/306969 of epoch 0, loss 0.455485, accuracy 78.691 %, best 78.691 %
Finished training it 227328/306969 of epoch 0, 22.42 ms/it, loss 0.452310, accuracy 78.812 %
Testing at - 227328/306969 of epoch 0, loss 0.456180, accuracy 78.662 %, best 78.691 %
Finished training it 228352/306969 of epoch 0, 20.59 ms/it, loss 0.451292, accuracy 78.979 %
Testing at - 228352/306969 of epoch 0, loss 0.456907, accuracy 78.609 %, best 78.691 %
Finished training it 229376/306969 of epoch 0, 17.28 ms/it, loss 0.450027, accuracy 79.183 %
Saving model to results/192-96-1_lr0.1/model.pth
Testing at - 229376/306969 of epoch 0, loss 0.455938, accuracy 78.703 %, best 78.703 %
Finished training it 230400/306969 of epoch 0, 19.62 ms/it, loss 0.449559, accuracy 79.122 %
Testing at - 230400/306969 of epoch 0, loss 0.456673, accuracy 78.661 %, best 78.703 %
Finished training it 231424/306969 of epoch 0, 19.61 ms/it, loss 0.449279, accuracy 79.189 %
Testing at - 231424/306969 of epoch 0, loss 0.456146, accuracy 78.661 %, best 78.703 %
Finished training it 232448/306969 of epoch 0, 19.47 ms/it, loss 0.450933, accuracy 78.947 %
Testing at - 232448/306969 of epoch 0, loss 0.456469, accuracy 78.662 %, best 78.703 %
Finished training it 233472/306969 of epoch 0, 20.10 ms/it, loss 0.451805, accuracy 78.941 %
Testing at - 233472/306969 of epoch 0, loss 0.455599, accuracy 78.697 %, best 78.703 %
Finished training it 234496/306969 of epoch 0, 19.68 ms/it, loss 0.450120, accuracy 79.031 %
Testing at - 234496/306969 of epoch 0, loss 0.456514, accuracy 78.630 %, best 78.703 %
Finished training it 235520/306969 of epoch 0, 17.34 ms/it, loss 0.450869, accuracy 79.033 %
Saving model to results/192-96-1_lr0.1/model.pth
Testing at - 235520/306969 of epoch 0, loss 0.455373, accuracy 78.710 %, best 78.710 %
Finished training it 236544/306969 of epoch 0, 18.31 ms/it, loss 0.452820, accuracy 78.817 %
Testing at - 236544/306969 of epoch 0, loss 0.455950, accuracy 78.668 %, best 78.710 %
