Using 1 GPU(s)...
Reading pre-processed data=/hdd3/jiayi/kaggle/kaggleAdDisplayChallenge_processed.npz
Sparse fea = 26, Dense fea = 13
Defined train indices...
Randomized indices across days ...
Split data according to indices...
Reading pre-processed data=/hdd3/jiayi/kaggle/kaggleAdDisplayChallenge_processed.npz
Sparse fea = 26, Dense fea = 13
Defined test indices...
Randomized indices across days ...
Split data according to indices...
Loading saved model results/48-24-1_lr0.1/model.pth
Saved at: epoch = 0/1, batch = 306176/306969, ntbatch = 200
Training state: loss = 0.449148, accuracy = 79.116 %
Testing state: loss = 0.454563, accuracy = 78.729 %
time/loss/accuracy (if enabled):
skip_upto_epoch: 0
args.nepochs: 2
k: 0
Finished training it 306969/306969 of epoch 0, 11.78 ms/it, loss 0.450648, accuracy 79.059 %
Testing at - 306969/306969 of epoch 0, loss 0.454985, accuracy 78.708 %, best 78.729 %
Finished training it 1024/306969 of epoch 1, 14.26 ms/it, loss 0.450508, accuracy 79.018 %
Saving model to results/48-24-1_lr0.1/model.pth
Testing at - 1024/306969 of epoch 0, loss 0.454904, accuracy 78.752 %, best 78.752 %
Finished training it 2048/306969 of epoch 1, 15.63 ms/it, loss 0.447049, accuracy 79.261 %
Testing at - 2048/306969 of epoch 0, loss 0.454821, accuracy 78.735 %, best 78.752 %
Finished training it 3072/306969 of epoch 1, 14.94 ms/it, loss 0.449540, accuracy 79.094 %
Testing at - 3072/306969 of epoch 0, loss 0.454646, accuracy 78.740 %, best 78.752 %
Finished training it 4096/306969 of epoch 1, 15.17 ms/it, loss 0.446839, accuracy 79.334 %
Testing at - 4096/306969 of epoch 0, loss 0.455781, accuracy 78.658 %, best 78.752 %
Finished training it 5120/306969 of epoch 1, 14.82 ms/it, loss 0.450043, accuracy 79.127 %
Testing at - 5120/306969 of epoch 0, loss 0.456241, accuracy 78.671 %, best 78.752 %
Finished training it 6144/306969 of epoch 1, 15.07 ms/it, loss 0.449667, accuracy 79.118 %
Testing at - 6144/306969 of epoch 0, loss 0.455552, accuracy 78.707 %, best 78.752 %
Finished training it 7168/306969 of epoch 1, 14.25 ms/it, loss 0.447541, accuracy 79.301 %
Testing at - 7168/306969 of epoch 0, loss 0.456423, accuracy 78.642 %, best 78.752 %
Finished training it 8192/306969 of epoch 1, 14.33 ms/it, loss 0.448395, accuracy 79.147 %
